OBJECTID,Comuna,Shape,Shape_Area,Shape_Length,Año,Población Proyectada
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2029,88931
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2030,88710
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2018,157243
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2019,161562
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2020,165436
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2021,168649
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2022,171854
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2023,175122
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2024,178903
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2025,182447
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2026,185812
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2027,188970
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2028,191916
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2029,194582
13,San Javier,"(4710446.833379285, 2250061.4652752504)",4849278869611957,26384222424049300,2030,197006
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2018,106805
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2019,108345
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2020,109600
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2021,110479
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2022,111343
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2023,112257
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2024,112850
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2025,113594
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2026,114223
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2027,114730
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2028,115127
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2029,115272
14,El Poblado,"(4716105.141383168, 2243895.5048163435)",14414322974759720,19965688224099640,2030,115267
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2018,64651
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2019,65011
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2020,65146
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2021,65024
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2022,64856
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2023,64713
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2024,64509
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2025,64320
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2026,64052
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2027,63691
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2028,63261
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2029,62714
15,Guayabal,"(4713893.913108434, 2245262.8041605293)",7288420653708949,13279241952554400,2030,62086
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2018,202931
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2019,206745
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2020,210015
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2021,212479
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2022,214967
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2023,217501
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2024,219847
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2025,222266
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2026,224468
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2027,226416
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2028,228107
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2029,229308
16,Belén,"(4712464.646414882, 2246614.074433245)",8856231995996315,25695015716947,2030,230195
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2018,5474
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2019,5689
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2020,5885
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2021,6073
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2022,6281
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2023,6485
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2024,6712
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2025,6936
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2026,7151
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2027,7365
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2028,7577
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2029,7787
17,San Sebastián de Palmitas,"(4702567.67332652, 2257955.731809993)",5779920245209739,38399211255142830,2030,7989
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2018,116420
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2019,123483
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2020,130514
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2021,137277
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2022,144316
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2023,151677
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2024,160320
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2025,168924
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2026,177709
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2027,186673
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2028,195761
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2029,205111
18,San Cristóbal,"(4708034.050189203, 2253812.222023098)",5411279228369451,5116261634315769,2030,214593
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2018,38856
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2019,40150
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2020,41350
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2021,42442
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2022,43556
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2023,44665
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2024,45978
19,Altavista,"(4708517.330009378, 2246822.6598188984)",28725783228357290,3501258319757013,2025,47189
