OBJECTID,Comuna,Shape,codigo,Shape_Area,Shape_Length,Año,Valor
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2016,76
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2017,77
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2018,75
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2019,75
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2020,73
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2021,73
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2014,61
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2015,7
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2016,61
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2017,65
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2018,68
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2019,66
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2020,54
17,San Sebastián de Palmitas,"(4702567.6733262185, 2257955.7318096347)",50,5779920250778169,3839921195236707,2021,69
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2014,63
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2015,72
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2016,66
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2017,65
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2018,61
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2019,61
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2020,6
18,San Cristóbal,"(4708034.050193128, 2253812.2220230075)",60,54112792242404780,5116261742571545,2021,63
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2014,59
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2015,74
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2016,67
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2017,7
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2018,6
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2019,69
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2020,58
19,Altavista,"(4708517.330020405, 2246822.6598185324)",70,2872578328352506,3501258288575261,2021,7
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2014,64
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2015,71
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2016,67
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2017,68
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2018,72
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2019,73
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2020,61
20,San Antonio de Prado,"(4704270.352085299, 2245613.063627898)",80,6056777168704203,4047228393637327,2021,66
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2014,65
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2015,68
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2016,61
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2017,65
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2018,66
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2019,61
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2020,7
21,Santa Elena,"(4721626.544324636, 2247611.5894908938)",90,7411415289082207,6652705396435653,2021,71
